StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Intro,Intro_5_TEXT,Q24,Q25,Q27,Q27_7_TEXT,Q26,Timing _First Click,Timing _Last Click,Timing _Page Submit,Timing _Click Count,Q1,Q28_First Click,Q28_Last Click,Q28_Page Submit,Q28_Click Count,Q29,Q30_First Click,Q30_Last Click,Q30_Page Submit,Q30_Click Count,Q31,Q32_First Click,Q32_Last Click,Q32_Page Submit,Q32_Click Count,Q33,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q35,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,Q37,Q38_First Click,Q38_Last Click,Q38_Page Submit,Q38_Click Count,Q39,Q40_First Click,Q40_Last Click,Q40_Page Submit,Q40_Click Count,Q41,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,Q43,Q44_First Click,Q44_Last Click,Q44_Page Submit,Q44_Click Count,Q45,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-2-1,F-1-2-2,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-2-1,F-2-2-2,F-3-1,F-3-1-1,F-3-2,F-3-1-2,F-3-2-1,F-3-2-2,F-4-1,F-4-1-1,F-4-2,F-4-1-2,F-4-2-1,F-4-2-2,F-5-1,F-5-1-1,F-5-2,F-5-1-2,F-5-2-1,F-5-2-2,F-6-1,F-6-1-1,F-6-2,F-6-1-2,F-6-2-1,F-6-2-2,F-7-1,F-7-1-1,F-7-2,F-7-1-2,F-7-2-1,F-7-2-2,F-8-1,F-8-1-1,F-8-2,F-8-1-2,F-8-2-1,F-8-2-2,F-9-1,F-9-1-1,F-9-2,F-9-1-2,F-9-2-1,F-9-2-2,F-10-1,F-10-1-1,F-10-2,F-10-1-2,F-10-2-1,F-10-2-2,F-1-3,F-1-1-3,F-1-2-3,F-2-3,F-2-1-3,F-2-2-3,F-3-3,F-3-1-3,F-3-2-3,F-4-3,F-4-1-3,F-4-2-3,F-5-3,F-5-1-3,F-5-2-3,F-6-3,F-6-1-3,F-6-2-3,F-7-3,F-7-1-3,F-7-2-3,F-8-3,F-8-1-3,F-8-2-3,F-9-3,F-9-1-3,F-9-2-3,F-10-3,F-10-1-3,F-10-2-3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Welcome!

Thanks for taking this survey. This is part of a research project set up by students at UC Berkeley. We will not be collecting any identifying data about you (such as name, email or address).

The purpose of this survey is to understand transportation mode choice in Berkeley. It will take you 5-10 minutes to complete it.

There is no financial (or otherwise) incentive for you to participate. Taking part is voluntary and you may leave the survey at any point.

If you wish to take part, please confirm that:
- You are aged 18 or above.
- You understand the above information.
- You consent to these terms.","Think about your previous experiences traveling in Berkeley and Oakland. In particular, think about a time when you have travelled between two locations that are relatively far apart (30+ min walk).

What was the purpose of the trip you have in mind? - Selected Choice","Think about your previous experiences traveling in Berkeley and Oakland. In particular, think about a time when you have travelled between two locations that are relatively far apart (30+ min walk).

What was the purpose of the trip you have in mind? - Other (Please specify) - Text",What was the time of the day?,Were you traveling alone?,What was your mode of transportation? - Selected Choice,What was your mode of transportation? - Other (please specify): - Text,"In the following screens, you'll be asked to think about the same journey that you have thought about before, under the same circumstances.

You will now you have to choose between traveling between these two locations on a hypothetical bus or ridehail journey. Bear in mind that the prices and travel times might not exactly match what you have experienced before. Three attributes will be displayed:
- Travel time (min)
- Wait time (min)
- Travel cost ($)

The bus journey will always take 30 minutes and you will have to wait for 12 minutes for the bus. The attributes for the ridehail journey will vary by situation.

Assume that the bus ride will be free (included in your student Clipper card) and that there won't be any extra travel time after the bus drops you at your location (i.e. think of both modes as door to door).

Please confirm that you have read and understood the information above:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 1


Please carefully review the options detailed below, then please click to choose a mode. 







 
Ridehail

Bus


[Field-F-1-1]
[Field-F-1-1-1]
[Field-F-1-2-1]

[Field-F-1-2]
[Field-F-1-1-2]
[Field-F-1-2-2]

[Field-F-1-3]
[Field-F-1-1-3]
[Field-F-1-2-3]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 2 


Please carefully review the options detailed below, then please click to choose a mode. 







 
Ridehail

Bus


[Field-F-2-1]
[Field-F-2-1-1]
[Field-F-2-2-1]

[Field-F-2-2]
[Field-F-2-1-2]
[Field-F-2-2-2]

[Field-F-2-3]
[Field-F-2-1-3]
[Field-F-2-2-3]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 3


Please carefully review the options detailed below, then please click to choose a mode. 







 
Ridehail

Bus


[Field-F-3-1]
[Field-F-3-1-1]
[Field-F-3-2-1]

[Field-F-3-2]
[Field-F-3-1-2]
[Field-F-3-2-2]

[Field-F-3-3]
[Field-F-3-1-3]
[Field-F-3-2-3]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 4 


Please carefully review the options detailed below, then please click to choose a mode. 







 
Ridehail

Bus


[Field-F-4-1]
[Field-F-4-1-1]
[Field-F-4-2-1]

[Field-F-4-2]
[Field-F-4-1-2]
[Field-F-4-2-2]

[Field-F-4-3]
[Field-F-4-1-3]
[Field-F-4-2-3]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 5 


Please carefully review the options detailed below, then please click to choose a mode. 







 
Ridehail

Bus


[Field-F-5-1]
[Field-F-5-1-1]
[Field-F-5-2-1]

[Field-F-5-2]
[Field-F-5-1-2]
[Field-F-5-2-2]

[Field-F-5-3]
[Field-F-5-1-3]
[Field-F-5-2-3]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 6 


Please carefully review the options detailed below, then please click to choose a mode. 







 
Ridehail

Bus


[Field-F-6-1]
[Field-F-6-1-1]
[Field-F-6-2-1]

[Field-F-6-2]
[Field-F-6-1-2]
[Field-F-6-2-2]

[Field-F-6-3]
[Field-F-6-1-3]
[Field-F-6-2-3]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 7 


Please carefully review the options detailed below, then please click to choose a mode. 







 
Ridehail

Bus


[Field-F-7-1]
[Field-F-7-1-1]
[Field-F-7-2-1]

[Field-F-7-2]
[Field-F-7-1-2]
[Field-F-7-2-2]

[Field-F-7-3]
[Field-F-7-1-3]
[Field-F-7-2-3]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 8 


Please carefully review the options detailed below, then please click to choose a mode. 







 
Ridehail

Bus


[Field-F-8-1]
[Field-F-8-1-1]
[Field-F-8-2-1]

[Field-F-8-2]
[Field-F-8-1-2]
[Field-F-8-2-2]

[Field-F-8-3]
[Field-F-8-1-3]
[Field-F-8-2-3]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 9 


Please carefully review the options detailed below, then please click to choose a mode. 







 
Ridehail

Bus


[Field-F-9-1]
[Field-F-9-1-1]
[Field-F-9-2-1]

[Field-F-9-2]
[Field-F-9-1-2]
[Field-F-9-2-2]

[Field-F-9-3]
[Field-F-9-1-3]
[Field-F-9-2-3]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 10



Please carefully review the options detailed below, then please click to choose a mode. 







 
Ridehail

Bus


[Field-F-10-1]
[Field-F-10-1-1]
[Field-F-10-2-1]

[Field-F-10-2]
[Field-F-10-1-2]
[Field-F-10-2-2]

[Field-F-10-3]
[Field-F-10-1-3]
[Field-F-10-2-3]",F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-2-1,F-1-2-2,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-2-1,F-2-2-2,F-3-1,F-3-1-1,F-3-2,F-3-1-2,F-3-2-1,F-3-2-2,F-4-1,F-4-1-1,F-4-2,F-4-1-2,F-4-2-1,F-4-2-2,F-5-1,F-5-1-1,F-5-2,F-5-1-2,F-5-2-1,F-5-2-2,F-6-1,F-6-1-1,F-6-2,F-6-1-2,F-6-2-1,F-6-2-2,F-7-1,F-7-1-1,F-7-2,F-7-1-2,F-7-2-1,F-7-2-2,F-8-1,F-8-1-1,F-8-2,F-8-1-2,F-8-2-1,F-8-2-2,F-9-1,F-9-1-1,F-9-2,F-9-1-2,F-9-2-1,F-9-2-2,F-10-1,F-10-1-1,F-10-2,F-10-1-2,F-10-2-1,F-10-2-2,F-1-3,F-1-1-3,F-1-2-3,F-2-3,F-2-1-3,F-2-2-3,F-3-3,F-3-1-3,F-3-2-3,F-4-3,F-4-1-3,F-4-2-3,F-5-3,F-5-1-3,F-5-2-3,F-6-3,F-6-1-3,F-6-2-3,F-7-3,F-7-1-3,F-7-2-3,F-8-3,F-8-1-3,F-8-2-3,F-9-3,F-9-1-3,F-9-2-3,F-10-3,F-10-1-3,F-10-2-3
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_5_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_7_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID2_FIRST_CLICK""}","{""ImportId"":""QID2_LAST_CLICK""}","{""ImportId"":""QID2_PAGE_SUBMIT""}","{""ImportId"":""QID2_CLICK_COUNT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID28_FIRST_CLICK""}","{""ImportId"":""QID28_LAST_CLICK""}","{""ImportId"":""QID28_PAGE_SUBMIT""}","{""ImportId"":""QID28_CLICK_COUNT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_FIRST_CLICK""}","{""ImportId"":""QID30_LAST_CLICK""}","{""ImportId"":""QID30_PAGE_SUBMIT""}","{""ImportId"":""QID30_CLICK_COUNT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_FIRST_CLICK""}","{""ImportId"":""QID32_LAST_CLICK""}","{""ImportId"":""QID32_PAGE_SUBMIT""}","{""ImportId"":""QID32_CLICK_COUNT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_FIRST_CLICK""}","{""ImportId"":""QID34_LAST_CLICK""}","{""ImportId"":""QID34_PAGE_SUBMIT""}","{""ImportId"":""QID34_CLICK_COUNT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_FIRST_CLICK""}","{""ImportId"":""QID36_LAST_CLICK""}","{""ImportId"":""QID36_PAGE_SUBMIT""}","{""ImportId"":""QID36_CLICK_COUNT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_FIRST_CLICK""}","{""ImportId"":""QID38_LAST_CLICK""}","{""ImportId"":""QID38_PAGE_SUBMIT""}","{""ImportId"":""QID38_CLICK_COUNT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_FIRST_CLICK""}","{""ImportId"":""QID40_LAST_CLICK""}","{""ImportId"":""QID40_PAGE_SUBMIT""}","{""ImportId"":""QID40_CLICK_COUNT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID45""}","{""ImportId"":""F-1-1""}","{""ImportId"":""F-1-1-1""}","{""ImportId"":""F-1-2""}","{""ImportId"":""F-1-1-2""}","{""ImportId"":""F-1-2-1""}","{""ImportId"":""F-1-2-2""}","{""ImportId"":""F-2-1""}","{""ImportId"":""F-2-1-1""}","{""ImportId"":""F-2-2""}","{""ImportId"":""F-2-1-2""}","{""ImportId"":""F-2-2-1""}","{""ImportId"":""F-2-2-2""}","{""ImportId"":""F-3-1""}","{""ImportId"":""F-3-1-1""}","{""ImportId"":""F-3-2""}","{""ImportId"":""F-3-1-2""}","{""ImportId"":""F-3-2-1""}","{""ImportId"":""F-3-2-2""}","{""ImportId"":""F-4-1""}","{""ImportId"":""F-4-1-1""}","{""ImportId"":""F-4-2""}","{""ImportId"":""F-4-1-2""}","{""ImportId"":""F-4-2-1""}","{""ImportId"":""F-4-2-2""}","{""ImportId"":""F-5-1""}","{""ImportId"":""F-5-1-1""}","{""ImportId"":""F-5-2""}","{""ImportId"":""F-5-1-2""}","{""ImportId"":""F-5-2-1""}","{""ImportId"":""F-5-2-2""}","{""ImportId"":""F-6-1""}","{""ImportId"":""F-6-1-1""}","{""ImportId"":""F-6-2""}","{""ImportId"":""F-6-1-2""}","{""ImportId"":""F-6-2-1""}","{""ImportId"":""F-6-2-2""}","{""ImportId"":""F-7-1""}","{""ImportId"":""F-7-1-1""}","{""ImportId"":""F-7-2""}","{""ImportId"":""F-7-1-2""}","{""ImportId"":""F-7-2-1""}","{""ImportId"":""F-7-2-2""}","{""ImportId"":""F-8-1""}","{""ImportId"":""F-8-1-1""}","{""ImportId"":""F-8-2""}","{""ImportId"":""F-8-1-2""}","{""ImportId"":""F-8-2-1""}","{""ImportId"":""F-8-2-2""}","{""ImportId"":""F-9-1""}","{""ImportId"":""F-9-1-1""}","{""ImportId"":""F-9-2""}","{""ImportId"":""F-9-1-2""}","{""ImportId"":""F-9-2-1""}","{""ImportId"":""F-9-2-2""}","{""ImportId"":""F-10-1""}","{""ImportId"":""F-10-1-1""}","{""ImportId"":""F-10-2""}","{""ImportId"":""F-10-1-2""}","{""ImportId"":""F-10-2-1""}","{""ImportId"":""F-10-2-2""}","{""ImportId"":""F-1-3""}","{""ImportId"":""F-1-1-3""}","{""ImportId"":""F-1-2-3""}","{""ImportId"":""F-2-3""}","{""ImportId"":""F-2-1-3""}","{""ImportId"":""F-2-2-3""}","{""ImportId"":""F-3-3""}","{""ImportId"":""F-3-1-3""}","{""ImportId"":""F-3-2-3""}","{""ImportId"":""F-4-3""}","{""ImportId"":""F-4-1-3""}","{""ImportId"":""F-4-2-3""}","{""ImportId"":""F-5-3""}","{""ImportId"":""F-5-1-3""}","{""ImportId"":""F-5-2-3""}","{""ImportId"":""F-6-3""}","{""ImportId"":""F-6-1-3""}","{""ImportId"":""F-6-2-3""}","{""ImportId"":""F-7-3""}","{""ImportId"":""F-7-1-3""}","{""ImportId"":""F-7-2-3""}","{""ImportId"":""F-8-3""}","{""ImportId"":""F-8-1-3""}","{""ImportId"":""F-8-2-3""}","{""ImportId"":""F-9-3""}","{""ImportId"":""F-9-1-3""}","{""ImportId"":""F-9-2-3""}","{""ImportId"":""F-10-3""}","{""ImportId"":""F-10-1-3""}","{""ImportId"":""F-10-2-3""}"
2023-03-20 00:53:58,2023-03-20 00:54:42,Survey Preview,,100,43,True,2023-03-20 00:54:43,R_12L9n5w6AU7o5wP,,,,,37.4828,-122.2144,preview,EN,"Yes, I consent.","Running errands (grocery shopping, etc.)",,Afternoon (12:00-17:59),Yes,Ridehail (Uber/Lyft),,"Yes, I have read and understood. Take me to the next questions.",9.137,9.137,9.755,1,Ridehail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel Time (min),25,Wait Time (min),4,30,12,Travel Time (min),25,Wait Time (min),4,30,12,Travel Time (min),20,Wait Time (min),2,30,12,Travel Time (min),10,Wait Time (min),2,30,12,Travel Time (min),25,Wait Time (min),8,30,12,Travel Time (min),10,Wait Time (min),10,30,12,Travel Time (min),25,Wait Time (min),10,30,12,Travel Time (min),15,Wait Time (min),8,30,12,Travel Time (min),20,Wait Time (min),10,30,12,Travel Time (min),10,Wait Time (min),10,30,12,Travel Cost ($),8,0,Travel Cost ($),10,0,Travel Cost ($),12,0,Travel Cost ($),12,0,Travel Cost ($),15,0,Travel Cost ($),10,0,Travel Cost ($),10,0,Travel Cost ($),8,0,Travel Cost ($),10,0,Travel Cost ($),8,0
2023-03-20 01:00:32,2023-03-20 01:01:30,Survey Preview,,100,58,True,2023-03-20 01:01:31,R_3EsyrHz314dFpbz,,,,,37.4828,-122.2144,preview,EN,"Yes, I consent.",Commute between home and campus,,Morning (06:00-11:59),No,Bus,,"Yes, I have read and understood. Take me to the next questions.",8.001,8.001,8.788,1,Ridehail,1.667,1.667,3.278,1,Ridehail,1.043,1.043,1.769,1,Ridehail,0.957,0.957,1.687,1,Ridehail,0.88,0.88,1.731,1,Bus,1.108,1.108,3.15,1,Ridehail,1.131,1.131,1.773,1,Ridehail,1.005,3.78,4.421,2,Ridehail,1.271,1.271,1.869,1,Ridehail,1.082,1.082,1.718,1,Ridehail,Travel Time (min),15,Wait Time (min),4,30,12,Travel Time (min),10,Wait Time (min),10,30,12,Travel Time (min),15,Wait Time (min),2,30,12,Travel Time (min),10,Wait Time (min),10,30,12,Travel Time (min),20,Wait Time (min),10,30,12,Travel Time (min),10,Wait Time (min),10,30,12,Travel Time (min),20,Wait Time (min),8,30,12,Travel Time (min),25,Wait Time (min),8,30,12,Travel Time (min),10,Wait Time (min),4,30,12,Travel Time (min),15,Wait Time (min),10,30,12,Travel Cost ($),15,0,Travel Cost ($),12,0,Travel Cost ($),8,0,Travel Cost ($),8,0,Travel Cost ($),15,0,Travel Cost ($),10,0,Travel Cost ($),10,0,Travel Cost ($),10,0,Travel Cost ($),10,0,Travel Cost ($),15,0
2023-03-20 01:13:05,2023-03-20 01:15:00,IP Address,76.133.252.103,100,115,True,2023-03-20 01:15:01,R_Q9TI2hCq3ck5p3b,,,,,37.4828,-122.2144,anonymous,EN,"Yes, I consent.",Commute between home and campus,,Afternoon (12:00-17:59),Yes,BART,,"Yes, I have read and understood. Take me to the next questions.",17.36,17.36,18.882,1,Ridehail,1.159,1.159,2.006,1,Ridehail,0.842,0.842,9.654,1,Ridehail,0,0,2.041,0,,1.45,1.45,2.123,1,Bus,0,0,0.976,0,,0.986,0.986,1.834,1,Ridehail,0.555,0.555,1.379,1,Ridehail,0.812,0.812,1.453,1,Ridehail,0.57,0.57,1.35,1,Ridehail,Travel Time (min),15,Wait Time (min),6,30,12,Travel Time (min),10,Wait Time (min),4,30,12,Travel Time (min),15,Wait Time (min),6,30,12,Travel Time (min),20,Wait Time (min),2,30,12,Travel Time (min),10,Wait Time (min),6,30,12,Travel Time (min),25,Wait Time (min),2,30,12,Travel Time (min),15,Wait Time (min),10,30,12,Travel Time (min),25,Wait Time (min),6,30,12,Travel Time (min),15,Wait Time (min),4,30,12,Travel Time (min),15,Wait Time (min),10,30,12,Travel Cost ($),10,0,Travel Cost ($),10,0,Travel Cost ($),8,0,Travel Cost ($),10,0,Travel Cost ($),10,0,Travel Cost ($),12,0,Travel Cost ($),15,0,Travel Cost ($),15,0,Travel Cost ($),15,0,Travel Cost ($),15,0
2023-03-20 14:40:32,2023-03-20 14:43:25,IP Address,107.115.29.100,100,172,True,2023-03-20 14:43:26,R_2bPnFJ2CNCOoRPF,,,,,37.8084,-122.2846,anonymous,EN,"Yes, I consent.",Commute between home and campus,,Morning (06:00-11:59),Yes,BART,,"Yes, I have read and understood. Take me to the next questions.",0.855,0.855,1.955,1,Ridehail,0.914,0.914,1.616,1,Bus,1.022,1.022,1.765,1,Ridehail,0.86,1.594,2.517,2,Bus,0.928,1.802,2.237,2,Ridehail,0.908,0.908,1.546,1,Bus,0.934,0.934,1.629,1,Ridehail,0.878,0.878,1.503,1,Bus,0.594,0.594,1.616,1,Ridehail,0.813,0.813,1.515,1,Ridehail,Travel Time (min),10,Wait Time (min),2,30,12,Travel Time (min),20,Wait Time (min),4,30,12,Travel Time (min),10,Wait Time (min),6,30,12,Travel Time (min),25,Wait Time (min),6,30,12,Travel Time (min),20,Wait Time (min),10,30,12,Travel Time (min),25,Wait Time (min),6,30,12,Travel Time (min),10,Wait Time (min),10,30,12,Travel Time (min),10,Wait Time (min),2,30,12,Travel Time (min),25,Wait Time (min),4,30,12,Travel Time (min),10,Wait Time (min),8,30,12,Travel Cost ($),10,0,Travel Cost ($),12,0,Travel Cost ($),10,0,Travel Cost ($),15,0,Travel Cost ($),15,0,Travel Cost ($),12,0,Travel Cost ($),8,0,Travel Cost ($),8,0,Travel Cost ($),15,0,Travel Cost ($),15,0
2023-03-20 20:54:35,2023-03-20 20:56:12,IP Address,192.184.206.215,100,97,True,2023-03-20 20:56:12,R_1fdVwMixGuc2SJm,,,,,37.8668,-122.2924,anonymous,EN,"Yes, I consent.","Running errands (grocery shopping, etc.)",,Afternoon (12:00-17:59),No,Bus,,"Yes, I have read and understood. Take me to the next questions.",4.855,4.855,10.797,1,Ridehail,5.439,8.872,9.602,3,Bus,4.134,4.134,4.51,1,Bus,4.304,8.6,8.975,4,Bus,2.454,2.454,2.941,1,Ridehail,1.879,1.879,2.225,1,Ridehail,2.365,2.365,2.645,1,Ridehail,2.625,2.625,3.177,1,Ridehail,1.686,1.686,2.563,1,Ridehail,1.083,1.083,1.398,1,Ridehail,Travel Time (min),15,Wait Time (min),2,30,12,Travel Time (min),15,Wait Time (min),6,30,12,Travel Time (min),20,Wait Time (min),10,30,12,Travel Time (min),25,Wait Time (min),4,30,12,Travel Time (min),20,Wait Time (min),6,30,12,Travel Time (min),15,Wait Time (min),4,30,12,Travel Time (min),20,Wait Time (min),2,30,12,Travel Time (min),15,Wait Time (min),6,30,12,Travel Time (min),10,Wait Time (min),8,30,12,Travel Time (min),10,Wait Time (min),6,30,12,Travel Cost ($),10,0,Travel Cost ($),15,0,Travel Cost ($),8,0,Travel Cost ($),10,0,Travel Cost ($),8,0,Travel Cost ($),12,0,Travel Cost ($),8,0,Travel Cost ($),10,0,Travel Cost ($),10,0,Travel Cost ($),10,0
2023-03-20 20:54:19,2023-03-20 20:56:27,IP Address,135.180.199.230,100,127,True,2023-03-20 20:56:28,R_3phS5Bk8jp4WX0P,,,,,37.8611,-122.2564,anonymous,EN,"Yes, I consent.",Leisure,,Evening (18:00-21:59),No,Bus,,"Yes, I have read and understood. Take me to the next questions.",13.839,13.839,14.541,1,Bus,4.647,4.647,7.797,1,Bus,7.379,7.379,9.097,1,Bus,3.415,3.415,3.928,1,Bus,3.517,3.517,4.973,1,Bus,2.02,2.02,2.895,1,Bus,1.8,2.801,4.537,2,Bus,1.566,1.566,2.16,1,Bus,1.021,1.021,1.73,1,Bus,0.767,0.767,1.333,1,Bus,Travel Time (min),10,Wait Time (min),10,30,12,Travel Time (min),10,Wait Time (min),4,30,12,Travel Time (min),15,Wait Time (min),2,30,12,Travel Time (min),25,Wait Time (min),10,30,12,Travel Time (min),25,Wait Time (min),6,30,12,Travel Time (min),25,Wait Time (min),8,30,12,Travel Time (min),15,Wait Time (min),4,30,12,Travel Time (min),10,Wait Time (min),8,30,12,Travel Time (min),25,Wait Time (min),4,30,12,Travel Time (min),25,Wait Time (min),8,30,12,Travel Cost ($),15,0,Travel Cost ($),12,0,Travel Cost ($),10,0,Travel Cost ($),10,0,Travel Cost ($),8,0,Travel Cost ($),12,0,Travel Cost ($),12,0,Travel Cost ($),10,0,Travel Cost ($),10,0,Travel Cost ($),12,0
